iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Simple Grocery Store API","Get all products","GET","https://simple-grocery-store-api.glitch.me/products","OK","200","1843","1716","Status code is 200",,,"1","1","0","0"
"1","Simple Grocery Store API","Get Single Product","GET","https://simple-grocery-store-api.glitch.me/products/4643?product-label=true","OK","200","967","17888","Status code is 200, Checking correct ProductId , Response is object, Product name , Product price , Price data type, Product is inStock ",,,"7","7","0","0"
"1","Simple Grocery Store API","Create cart","POST","https://simple-grocery-store-api.glitch.me/carts","Created","201","590","49","Status code is 201",,,"1","1","0","0"
"1","Simple Grocery Store API","Add item to cart","POST","https://simple-grocery-store-api.glitch.me/carts/dsfepfVIhH83Sh_BXyxL_/items","Created","201","760","35","Status code is 201, Item is created",,,"2","2","0","0"
"1","Simple Grocery Store API","check cart","GET","https://simple-grocery-store-api.glitch.me/carts/dsfepfVIhH83Sh_BXyxL_","OK","200","357","95","Status code is 200",,,"1","1","0","0"
"1","Simple Grocery Store API","Get cart items","GET","https://simple-grocery-store-api.glitch.me/carts/dsfepfVIhH83Sh_BXyxL_/items","OK","200","281","48","Status code is 200",,,"1","1","0","0"
"1","Simple Grocery Store API","Modify an item in the cart","PATCH","https://simple-grocery-store-api.glitch.me/carts/dsfepfVIhH83Sh_BXyxL_/items/317415278","No Content","204","543","0","Status code is 204",,,"1","1","0","0"
"1","Simple Grocery Store API","Replace an item in the cart","PUT","https://simple-grocery-store-api.glitch.me/carts/dsfepfVIhH83Sh_BXyxL_/items/317415278","No Content","204","591","0","Status code is 204",,,"1","1","0","0"
"1","Simple Grocery Store API","Delete an item in the cart","DELETE","https://simple-grocery-store-api.glitch.me/carts/BB-9xneW9HQvCAMw6yq5e/items/609069593","Not Found","404","288","50",,,,"0","0","0","0"
"1","Simple Grocery Store API","Create a new order","POST","https://simple-grocery-store-api.glitch.me/orders","Created","201","1112","50","Status code is 201",,,"1","1","0","0"
"1","Simple Grocery Store API","Update orders","PATCH","https://simple-grocery-store-api.glitch.me/orders/mBwyq2s_ePhxb38eUJpq2","No Content","204","498","0","Status code is 204",,,"1","1","0","0"
"1","Simple Grocery Store API","update order comment","PATCH","https://simple-grocery-store-api.glitch.me/orders/mBwyq2s_ePhxb38eUJpq2","No Content","204","745","0","Status code is 204",,,"1","1","0","0"
"1","Simple Grocery Store API","Get orders","GET","https://simple-grocery-store-api.glitch.me/orders","OK","200","395","7190","Status code is 200, Created order is in list",,,"2","2","0","0"
"1","Simple Grocery Store API","Get a single order","GET","https://simple-grocery-store-api.glitch.me/orders/hLIhJWtEvbGh3sy0D5bLN?invoice=true","OK","200","285","18037",,,,"0","0","0","0"
"1","Simple Grocery Store API","Delete orders","DELETE","https://simple-grocery-store-api.glitch.me/orders/x_xra9f5Dw4agOaV6LTws","Not Found","404","272","51",,,,"0","0","0","0"
"1","Simple Grocery Store API","Register a new API client","POST","https://simple-grocery-store-api.glitch.me/api-clients","Created","201","688","82","Status code is 201",,,"1","1","0","0"
"1","Simple Grocery Store API","get Status","GET","https://simple-grocery-store-api.glitch.me/status","OK","200","769","15","Status code is 200, Status should be , Response time is less than 200ms",,,"3","3","0","0"
"1","Simple Grocery Store API","Create a new order---invalid token","POST","https://simple-grocery-store-api.glitch.me/orders","Unauthorized","401","357","33","Status code is 401, Error message",,,"2","2","0","0"
"1","Simple Grocery Store API","Get orders ---invalid token","GET","https://simple-grocery-store-api.glitch.me/orders","Unauthorized","401","337","33","Status code is 401, Error message",,,"2","2","0","0"
"1","Simple Grocery Store API","Get orders ----missing header","GET","https://simple-grocery-store-api.glitch.me/orders","Unauthorized","401","404","41","Status code is 401, Error message",,,"2","2","0","0"
"1","Simple Grocery Store API","Create a new order--missing header","POST","https://simple-grocery-store-api.glitch.me/orders","Unauthorized","401","377","41","Status code is 401, Error message",,,"2","2","0","0"
"1","Simple Grocery Store API","Get all products invalid  category","GET","https://simple-grocery-store-api.glitch.me/products?category=milk","Bad Request","400","275","143","Status code is 400, Error message, Error message",,,"3","3","0","0"
"1","Simple Grocery Store API","Get all products invalid  result","GET","https://simple-grocery-store-api.glitch.me/products?results=30","Bad Request","400","381","83","Status code is 400, Error message",,,"2","2","0","0"
